company_name,source,source_url,scraped_at,extraction_success,kpis_extracted,new_business_premium_cr,data_as_of,solvency_ratio,claim_settlement_ratio_pct,policies_issued,persistency_ratio_13m
Star Union Dai-ichi Life Insurance,not_found,https://www.sudlife.in/public-disclosure,2026-05-10T20:13:52.295857,False,0,,FY2023-24 Q4,,,,
Aegon Life Insurance,company_website_live,https://www.aegonlife.com/sites/default/files/asset/2026-02/Citizens-Charter.pdf,2026-05-10T20:13:59.704849,True,1,,FY2026-02 Q4,,1.0,,
Aegon Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-04/Electronic-Insurance-Account-%28e-IA%29.pdf,2026-05-10T20:13:59.704853,True,0,,FY2026-04 Q4,,,,
Aegon Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-02/BANDHAN-HR-PO-11_WHISTLE%20BLOWER%20POLICY_Feb%2726%20-%20website.pdf,2026-05-10T20:13:59.704854,True,0,,FY2026-02 Feb,,,,
Bandhan Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-03/Stewardship%20Policy_Mar26.pdf,2026-05-10T20:14:06.382650,True,1,,FY2026-03 Mar,,5.0,,
Bandhan Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-02/Citizens-Charter.pdf,2026-05-10T20:14:06.382654,True,1,,FY2026-02 Q4,,1.0,,
Bandhan Life Insurance,company_website_live,https://www.bandhanlife.com/sites/default/files/asset/2026-04/Electronic-Insurance-Account-%28e-IA%29.pdf,2026-05-10T20:14:06.382655,True,0,,FY2026-04 Q4,,,,
Credit Access Life Insurance,not_found,https://calife.in/public-disclosures/,2026-05-10T20:14:14.557543,False,0,,FY2023-24 Q4,,,,
Sahara India Life Insurance,not_found,https://www.saharalife.com/AnnualReport.html,2026-05-10T20:15:57.197369,False,0,,FY2023-24 Q4,,,,
Acko Life Insurance Limited,company_website_live,https://acko-cms.ackoassets.com/ACKO_Life_Insurance_Public_Disclosure_Mar_2025_ca1d2c4923.pdf,2026-05-10T20:53:10.855901,True,3,98.0,FY2023-24 Mar,33.0,,42.0,
Acko Life Insurance Limited,company_website_live,https://acko-cms.ackoassets.com/ACKO_Life_Insurance_Public_Disclosure_Jun_2025_cbb462b0e0.pdf,2026-05-10T20:53:10.855924,True,3,75.0,FY2023-24 Jun,32.0,,42.0,
Acko Life Insurance Limited,company_website_live,https://acko-cms.ackoassets.com/ACKO_Life_Insurance_Public_Disclosure_Sep_2025_59f3905a83.pdf,2026-05-10T20:53:10.855931,True,4,31.1,FY2023-24 Sep,31.0,1.0,37.0,
Go Digit Life Insurance Limited,company_website_live,https://www.godigit.com/content/dam/godigit/life/financials/public-disclosures/public-disclosure-june-2025.pdf,2026-05-10T20:53:53.591640,True,4,19.3,FY2023-24 Jun,47.0,4.0,37.0,
Go Digit Life Insurance Limited,company_website_live,https://www.godigit.com/content/dam/godigit/life/financials/public-disclosures/public-disclosure-september-2025.pdf,2026-05-10T20:53:53.591645,True,4,34.0,FY2023-24 Sep,47.0,2.0,37.0,
Go Digit Life Insurance Limited,company_website_live,https://www.godigit.com/content/dam/godigit/life/financials/public-disclosures/public-disclosure-december-2025.pdf,2026-05-10T20:53:53.591646,True,4,35.5,FY2023-24 Dec,47.0,7.0,57.0,
Ageas Federal Life Insurance Company Limited,company_website_live,https://content.ageasfederal.com/blob/Public_Disclosure_June_2024_version_1_2_dated_25_07_2025_V1_e0e832fd46.pdf,2026-05-10T21:11:05.368137,True,4,193.92,FY2023-24 Jun,322.0,2.0,37.0,
Ageas Federal Life Insurance Company Limited,company_website_live,https://content.ageasfederal.com/blob/Public_Disclosure_for_the_quarter_ended_September_2025_1_af1e6bd247.pdf,2026-05-10T21:11:05.368140,True,4,17150.0,FY2023-24 Sep,273.84,48.0,31546.0,
Ageas Federal Life Insurance Company Limited,company_website_live,https://content.ageasfederal.com/blob/Public_Disclosure_for_the_quarter_ended_March_2025_1_85bd1ee6d6.pdf,2026-05-10T21:11:05.368142,True,3,9902.0,FY2023-24 Mar,297.41,,64283.0,
